feature_0,feature_1,feature_2,target
3.745401188473625,0.3142918568673425,6.420316461542877,0
9.50714306409916,6.364104112637804,0.8413996499504883,1
7.319939418114051,3.143559810763267,1.6162871409461377,1
5.986584841970366,5.085706911647028,8.985541885270793,1
1.5601864044243652,9.07566473926093,6.0642905965958995,0
1.5599452033620265,2.4929222914887497,0.09197051616629648,0
0.5808361216819946,4.103829230356297,1.014715428660321,0
8.661761457749352,7.555511385430487,6.635017691080558,1
6.011150117432088,2.2879816549162246,0.05061583846218687,1
7.080725777960454,0.7697990982879299,1.6080805141749865,1
0.20584494295802447,2.8975145291376805,5.487337893665861,0
9.699098521619943,1.6122128725400442,6.918951976926932,1
8.324426408004218,9.29697652342573,6.519612595026006,1
2.1233911067827616,8.08120379564417,2.242693094605598,1
1.8182496720710062,6.334037565104235,7.121792213475358,1
1.8340450985343382,8.714605901877178,2.3724908749680007,0
3.0424224295953772,8.036720768991145,3.2539969815926773,0
5.247564316322379,1.8657005888603584,7.464914051180242,1
4.319450186421157,8.925589984899778,6.496328990472147,0
2.9122914019804194,5.393422419156507,8.49223410494178,0
6.118528947223795,8.074401551640625,6.576128923003433,1
1.3949386065204183,8.960912999234932,5.683086033354716,1
2.9214464853521815,3.1800347497186388,0.9367476782809248,0
3.663618432936917,1.1005192452767676,3.6771580305943354,1
4.56069984217036,2.279351625419417,2.6520236768172545,0
7.851759613930136,4.271077886262563,2.4398964337908358,1
1.9967378215835974,8.18014765922493,9.730105547524456,0
5.142344384136116,8.607305832563434,3.930977246667604,1
5.924145688620425,0.06952130531190703,8.920465551771134,0
0.46450412719997725,5.107473025775658,6.311386259972629,0
6.075448519014383,4.17411003148779,7.948113035416484,0
1.7052412368729153,2.2210781047073027,5.026370931051921,1
0.6505159298527952,1.198653673336828,5.769038846263591,0
9.488855372533333,3.3761517140362796,4.925176938188639,0
9.656320330745594,9.429097039125192,1.952429877980445,1
8.08397348116461,3.2320293202075523,7.224521152615053,1
3.0461376917337066,5.187906217433661,2.807723624408558,0
0.9767211400638387,7.030189588951778,0.2431596643145384,0
6.842330265121569,3.63629602379294,6.454722959071678,1
4.4015249373960135,9.717820827209607,1.7711067940704894,1
1.2203823484477883,9.624472949421111,9.404585843529143,1
4.951769101112702,2.5178229582536416,9.539285770025874,1
0.34388521115218396,4.972485058923855,9.148643902204485,1
9.093204020787821,3.0087830981676964,3.7015870025544437,0
2.587799816000169,2.848404943774676,0.15456616528867428,1
6.62522284353982,0.36886947354532795,9.283185625877254,0
3.1171107608941098,6.095643339798968,4.281841483173143,0
5.200680211778108,5.026790232288615,9.666548190436696,0
5.4671027934327965,0.5147875124998935,9.636199770892528,1
1.8485445552552704,2.7864646423661146,8.530094554673601,0
9.695846277645586,9.082658859666537,2.944488920695857,0
7.7513282336111455,2.395618906669724,3.8509772860192526,1
9.394989415641891,1.448948720912231,8.511366715168569,0
8.948273504276488,4.89452760277563,3.1692200515627764,0
5.978999788110851,9.856504541106007,1.6949274668609249,1
9.218742350231167,2.4205527151150044,5.568012624583502,0
0.884925020519195,6.721355474058786,9.36154774160781,0
1.959828624191452,7.616196153287175,6.96029796674973,0
0.45227288910538066,2.3763754399239967,5.700611700893649,1
3.2533033076326436,7.282163486118596,0.9717649377076854,1
3.8867728968948203,3.677831327192532,6.150072266991698,1
2.713490317738959,6.3230583059357945,9.900538501042632,0
8.287375091519294,6.335297107608947,1.4008401523652403,0
3.567533266935893,5.357746840747585,5.183296523637368,1
2.8093450968738076,0.902897700544083,8.773730719279554,0
5.426960831582485,8.35302495589238,7.407686177542044,0
1.4092422497476265,3.2078006497173583,6.97015740995268,1
8.021969807540398,1.8651851039985423,7.024840839871093,1
0.7455064367977082,0.40775141554763916,3.5949115121975517,0
9.868869366005173,5.908929431882418,2.9359184426449336,0
7.722447692966574,6.775643618422825,8.093611554785136,0
1.987156815341724,0.16587828927856152,8.101133946791808,1
0.05522117123602399,5.12093058299281,8.670723185801037,1
8.154614284548341,2.2649577519793795,9.132405525564714,1
7.068573438476172,6.451727904094499,5.113423988609378,1
7.2900716804098735,1.7436642900499144,5.015162946871996,0
7.712703466859457,6.90937738102466,7.9829517896677515,1
0.7404465173409036,3.867353463005374,6.4996393077776515,1
3.5846572854427263,9.367299887367345,7.019668772577034,1
1.1586905952512971,1.3752094414599325,7.95792669436101,1
8.631034258755935,3.410663510502585,8.900053418175663,1
6.232981268275579,1.1347352124058907,3.379951568515358,0
3.308980248526492,9.246936182785628,3.75582952639944,0
0.6355835028602363,8.77339353380981,0.93981939840869,1
3.109823217156622,2.579416277151556,5.78280140996174,0
3.2518332202674705,6.59984046034179,0.35942273796742086,1
7.29606178338064,8.172222002012159,4.655980181324601,1
6.3755747135521315,5.5520081159946235,5.426446347075766,0
8.872127425763265,5.296505783560065,2.865412521282844,0
4.722149251619493,2.418522909004517,5.9083326056901075,1
1.195942459383017,0.9310276780589921,0.3050024993904943,1
7.13244787222995,8.972157579533267,0.37348188749214417,1
7.607850486168974,9.004180571633304,8.226005606596583,0
5.612771975694963,6.33101457273268,3.601906414112629,1
7.70967179954561,3.390297910487007,1.2706051265188478,1
4.937955963643907,3.492095746126609,5.222432600548044,1
5.227328293819941,7.259556788702394,7.699935530986108,0
4.275410183585496,8.971102599525771,2.1582102749684315,1
0.2541912674409519,8.870864242651173,6.228904758190002,1
1.0789142699330445,7.798755458576238,0.85347464993768,0
